Short Description,Value,Link,GitHub Owner,PR
Add support for LLaVA (tinygrad),$100.00,https://github.com/exo-explore/exo/issues/249,,
Pixtral Support,$100.00,https://github.com/exo-explore/exo/issues/215,,
Support running any model from huggingface ,$100.00,https://github.com/exo-explore/exo/issues/357,,
Support Llama 3.2 11B and 90B Vision LLMs,$200.00,https://github.com/exo-explore/exo/issues/247,,
Fix tinygrad CLANG on some devices,$200.00,https://github.com/exo-explore/exo/issues/152,,
Support local and custom models,$200.00,https://github.com/exo-explore/exo/issues/165,https://github.com/Sanchay-T,
Windows native support,$200.00,https://github.com/exo-explore/exo/issues/186,,
Bluetooth Networking Module,$200.00,https://github.com/exo-explore/exo/issues/196,,
Radio Networking Module,$200.00,https://github.com/exo-explore/exo/issues/2,,
Tinygrad support MLX community models,$200.00,https://github.com/exo-explore/exo/issues/200,,
Dynamic TFLOPS calculations,$200.00,https://github.com/exo-explore/exo/issues/243,https://github.com/snico432,
make it so process_prompt is cancellable outside of a download ,$200.00,https://github.com/exo-explore/exo/issues/307,,
Support function/tool calling as laid out by OpenAI's API spec ,$300.00,https://github.com/exo-explore/exo/issues/293,https://github.com/vanakema,
Add support for quantized models with Tinygrad,$500.00,https://github.com/exo-explore/exo/issues/148,,
Support multiple models running concurrently,$500.00,https://github.com/exo-explore/exo/issues/283,,
Pipeline Parallel Inference (prerequisite: Batched Requests),$500.00,https://github.com/exo-explore/exo/issues/4,,
Stable Diffusion Support,$500.00,https://github.com/exo-explore/exo/issues/159,https://github.com/pranav4501,
FLUX Support (MLX),$500.00,https://github.com/exo-explore/exo/issues/461,https://github.com/varshith15,
Llama.cpp Inference Engine,$500.00,https://github.com/exo-explore/exo/issues/167,,
JAX Inference Engine,$500.00,https://github.com/exo-explore/exo/issues/234,,
Better PartitioningStrategy,$500.00,https://github.com/exo-explore/exo/issues/284,https://github.com/exo-explore/exo/issues/284,
tinygrad compile to swift,"$1,000.00",https://github.com/exo-explore/exo/issues/238,https://github.com/sambhavnoobcoder,
exo browser node (WebGPU),"$1,000.00",https://github.com/exo-explore/exo/issues/304,,
How do I run llama 405b? --> Website,"$1,000.00",,https://x.com/EricBuess,
Package exo as installables,"$1,500.00",https://github.com/exo-explore/exo/issues/302,https://github.com/exo-explore/exo/issues/302,
https://github.com/exo-explore/exo,,,
Bounties are paid out upon merged PR via USDC on Ethereum.  Email: alex@exolabs.net,,,
"Note: We also pay retrospective bounties for good work. If you think something would be valuable to exo, just go ahead and implement it and we will pay a retrospective bounty if it's good. We value experimentation so even if some work does not get merged, you may still be eligible for a bounty.",,,
Colour key:,,,
,Blank - Available,,,
,Yellow - In Progress,,,
,Green - Complete,,,
,Grey - On Hold,,,
